tm_id,name,club,nat1,nat2,age,position,market_value,tracked
585658,Niall Morahan,Bohemian Football Club,Ireland,,26,,€150k,yes
586628,Matthew Healy,Shamrock Rovers,Ireland,United States,91,,€500k,yes
586755,Luke Turner,St. Patrick's Athletic,Ireland,,24,,€225k,yes
586756,Festy Ebosele,Erzurumspor FK,Ireland,Nigeria,31,,€2.50m,yes
593296,Harvey Neville,Sporting Club Jacksonville,Ireland,England,24,,€175k,
595665,Jordan Adeyemo,KF Aegir,Ireland,Nigeria,26,,€75k,
603084,Enda Minogue,Dundalk FC,Ireland,,24,,€125k,yes
610786,Ollie O'Neill,Leyton Orient,Ireland,England,79,,€650k,
614554,Kian Leavy,St. Patrick's Athletic,Ireland,,24,,€250k,yes
614700,Dara Costelloe,Wigan Athletic,Ireland,,99,,€400k,
614828,Zak Delaney,Raith Rovers FC,Ireland,England,24,,€100k,yes
615177,Ali Reghba,NK Maribor,Ireland,Algeria,26,,€200k,
621193,Kasey McAteer,Ipswich Town,Ireland,England,8,,€10.00m,yes
621993,Andrew Omobamidele,RC Strasbourg Alsace,Ireland,Nigeria,10,,€8.00m,yes
623740,Ross Tierney,Bohemian Football Club,Ireland,,25,,€325k,yes
626334,Roland Idowu,FC Botosani,Ireland,Nigeria,24,,€150k,yes
631904,Anselmo García MacNulty,1.FC Magdeburg,Ireland,Spain,41,,€1.50m,
634366,Darragh Burns,Derry City,Ireland,Northern Ireland,24,,€200k,yes
647138,Danny McNamara,Charlton Athletic,Ireland,England,42,,€1.50m,
648032,James Abankwah,Udinese Calcio,Ireland,Ghana,25,,€3.50m,yes
648041,Jamie Mullins,Wycombe Wanderers,Ireland,,21,,€225k,yes
648044,Edwin Agbaje,Drogheda United FC,Ireland,Nigeria,22,,€175k,yes
648046,Evan Ferguson,Brighton & Hove Albion,Ireland,England,5,,€20.00m,yes
648049,Ben Quinn,Cliftonville FC,Ireland,,21,,€50k,yes
650883,Zak Gilsenan,FC Halifax Town,Ireland,Australia,23,,€75k,yes
651955,Shadrach Ogie,Woking FC,Ireland,Nigeria,25,,€200k,yes
655259,Mark Byrne,Glenavon FC,Ireland,,25,,€50k,
655880,Mipo Odubeko,Shelbourne FC,Ireland,Nigeria,23,,€150k,yes
655998,Lee Devitt,Galway United FC,Ireland,,26,,€125k,yes
669366,Tom Cannon,Sheffield United,Ireland,England,13,,€7.00m,yes
677356,Thomas Oluwa,Drogheda United FC,Ireland,Nigeria,25,,€150k,yes
683530,Dawson Devoy,Bohemian Football Club,Ireland,,24,,€350k,yes
683665,Rob Slevin,Coleraine FC,Ireland,England,28,,€150k,
683670,Darragh Power,Bohemian Football Club,Ireland,,25,,€175k,yes
688673,Darragh O'Connor,East Kilbride FC,Ireland,England,27,,€50k,yes
693750,Ryan O'Kane,Sligo Rovers,Ireland,,23,,€125k,
698196,Calum Kavanagh,Oldham Athletic,Ireland,Wales,22,,€250k,
700155,Tommy Lonergan,Waterford FC,Ireland,,22,,€225k,yes
700441,Tyler Goodrham,Oxford United,Ireland,England,43,,€1.50m,
701072,Cian Kavanagh,Sligo Rovers,Ireland,,23,,€125k,yes
703194,Gabriel Adebambo,Without ClubWithout Club,Ireland,Nigeria,24,,€25k,
711544,Jake O'Brien,Everton FC,Ireland,,6,,€18.00m,yes
718171,Josh Honohan,Lincoln City,Ireland,,25,,€250k,yes
718846,Ronan Boyce,St. Patrick's Athletic,Ireland,,25,,€175k,yes
719980,James Clarke,Derry City,Ireland,,25,,€225k,yes
721097,Arlo Doherty,Waterford FC,Ireland,England,22,,€100k,
724529,Tayo Adaramola,Cercle Brugge ,Ireland,Nigeria,66,,€800k,yes
724530,Leigh Kavanagh,Galway United FC,Ireland,,22,,€150k,yes
724532,Sinclair Armstrong,Göztepe,Ireland,Nigeria,32,,€2.50m,yes
724535,Robbie Mahon,Airdrieonians FC,Ireland,,23,,€50k,
724536,Josh Keeley,Luton Town,Ireland,,67,,€800k,yes
724537,Andrew Moran,Preston North End,Ireland,,44,,€1.50m,yes
724540,Bosun Lawal,Stoke City,Ireland,Nigeria,28,,€3.00m,yes
727025,Cian Hayes,Rochdale AFC,Ireland,England,23,,€325k,yes
728478,Gavin Molloy,Aberdeen FC,Ireland,,81,,€600k,
728480,Jack Moylan,Cardiff City,Ireland,,68,,€800k,yes
731763,Josh Okpolokpo,Without ClubWithout Club,Ireland,England,23,,€150k,
732748,Seán Roughan,Huddersfield Town,Ireland,,56,,€1.00m,
738025,Ahu Obhakhan,Portadown FC,Ireland,Nigeria,29,,€50k,
741225,Kevin Zefi,Sligo Rovers,Ireland,Albania,21,,€50k,yes
741226,Conor Walsh,Shelbourne FC,Ireland,,21,,€50k,yes
741228,Joe O'Brien-Whitmarsh,Northampton Town,Ireland,,21,,€200k,
741229,Rocco Vata,Watford FC,Ireland,Albania,40,,€1.80m,yes
741232,Cian Barrett,Shamrock Rovers,Ireland,,21,,€100k,yes
741267,Sam Curtis,Sheffield United,Ireland,,20,,€200k,yes
741268,Cathal Heffernan,Harrogate Town,Ireland,,21,,€125k,
741269,James McManus,Sligo Rovers,Ireland,,21,,€150k,yes
741271,Justin Ferizaj,Crawley Town,Ireland,Albania,21,,€50k,
742163,Joel Bagan,Cardiff City,Ireland,England,57,,€1.00m,
744956,Luke Pearce,Sligo Rovers,Ireland,England,22,,€50k,yes
745716,Killian Cahill,Leyton Orient,Ireland,,22,,€175k,
745722,Evan Caffrey,Shelbourne FC,Ireland,,23,,€175k,yes
745726,Conan Noonan,Waterford FC,Ireland,,23,,€200k,yes
745727,Dean McMenamy,Waterford FC,Ireland,,24,,€100k,yes
745728,Dylan Duffy,Chesterfield FC,Ireland,,23,,€250k,
745729,Alex Nolan,Sligo Rovers,Ireland,,23,,€125k,yes
746115,Connor Barratt,Galway United FC,Ireland,England,22,,€125k,yes
746338,Baba Adeeko,Rochdale AFC,Ireland,Nigeria,23,,€300k,
746956,Evan Weir,Peterborough United,Ireland,,24,,€300k,yes
746971,Aidomo Emakhu,Oxford United,Ireland,Nigeria,58,,€1.00m,yes
748019,Andrew Quinn,Drogheda United FC,Ireland,,24,,€175k,yes
750777,Dara McGuinness,Galway United FC,Ireland,,22,,€75k,yes
796024,Jack Henry-Francis,Shelbourne FC,Ireland,England,22,,€250k,
798171,Francely Lomboto,Galway United FC,Ireland,DR Congo,26,,€100k,yes
798363,Uniss Kargbo,Colwyn Bay,Ireland,Sierra Leone,24,,€50k,
798371,Olamide Ibrahim,Without ClubWithout Club,Ireland,Nigeria,22,,€50k,
798864,Eoin Farrell,The New Saints,Ireland,,24,,€75k,
801420,Killian Phillips,St. Mirren FC,Ireland,United States,59,,€1.00m,yes
802243,Ed McJannet,Cosenza Calcio,Ireland,England,22,,€150k,
809167,Ciaran Gilligan,Burton Albion,Ireland,England,24,,€75k,
